,neighbourhood,area,rooms,bathrooms,rent
1911,Jardim Santa Paula,66,2,2,1223
1912,Parque Arnold Schimidt,48,2,1,1100
1913,Parque Santa Mônica,82,1,1,1400
1914,Jardim Brasil,49,2,2,1000
1915,Vila Irene,42,2,1,600
1916,,64,3,2,1400
1917,Centro,44,1,1,1400
1918,Jardim Lutfalla,56,2,1,1555
1919,,98,2,2,1667
1920,Gleba I,111,4,3,3300
1921,Centro,35,1,2,1112
1922,Jardim Bethania,115,3,1,2440
1923,Jardim Gibertoni,150,3,3,3700
1924,,146,3,4,2500
1925,Parque Sabará,63,2,2,1760
1926,Centro,60,2,3,1554
1927,Jardim Centenário,48,2,1,1400
1928,Parque Santa Felícia Jardim,80,3,1,1667
1929,,100,3,2,2000
1930,Centro,56,2,1,1900
1931,,80,2,2,1500
1932,Parque Arnold Schimidt,41,1,1,1112
1933,Jardim Nova Santa Paula,57,2,1,750
1934,Jardim Gibertoni,130,3,3,1000
1935,Centro,60,2,1,1900
1936,Parque Sabará,67,2,2,1900
1937,Jardim Gibertoni,70,2,1,1334
1938,Parque Santa Mônica,81,3,1,1300
1939,Jardim Nova São Carlos,42,2,1,640
1940,Parque Arnold Schimidt,63,2,2,1500
1941,Residencial Monsenhor Romeu Tortorelli,42,2,1,660
1942,,102,3,2,3111
1943,Parque Fehr,43,2,1,1334
1944,Jardim Bethania,60,2,2,1700
1945,Jardim Alvorada,60,2,1,880
1946,Jardim Alvorada,64,2,2,2500
1947,Jardim Santa Paula,66,2,2,1223
1948,Parque Arnold Schimidt,48,2,1,1100
1949,Parque Santa Mônica,82,1,1,1400
1950,Jardim Brasil,49,2,2,1000
1951,Vila Irene,42,2,1,600
1952,,64,3,2,1400
1953,Centro,44,1,1,1400
1954,Jardim Lutfalla,56,2,1,1555
1955,,98,2,2,1667
1956,Gleba I,111,4,3,3300
1957,Centro,35,1,2,1112
1958,Jardim Bethania,115,3,1,2440
1959,Jardim Gibertoni,150,3,3,3700
1960,,146,3,4,2500
1961,Parque Sabará,63,2,2,1760
1962,Centro,60,2,3,1554
1963,Jardim Centenário,48,2,1,1400
1964,Parque Santa Felícia Jardim,80,3,1,1667
